INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
214778543,06/30/2020,23:20:00,MANHATTAN,19,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,999359,224280,40.782268336000072,-73.945444228999975,POINT (-73.94544422899997 40.78226833600007)
209640803,02/16/2020,15:30:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,1004905,179376,40.659006507000072,-73.925555928999984,POINT (-73.92555592899998 40.65900650700007)
208549424,01/26/2020,17:30:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,false,25-44,F,BLACK,45-64,M,BLACK,1000126,238706,40.821862408000072,-73.942640553999979,POINT (-73.94264055399998 40.82186240800007)
211790146,04/06/2020,21:53:00,BROOKLYN,75,0,,false,25-44,M,BLACK,25-44,M,BLACK,1015238,180730,40.662692805000063,-73.888307159999954,POINT (-73.88830715999995 40.66269280500006)
213974312,06/08/2020,22:40:00,BROOKLYN,73,0,,false,,,,25-44,M,BLACK,1009279,179175,40.658443523000074,-73.909791752999979,POINT (-73.90979175299998 40.658443523000074)
213188087,05/16/2020,01:09:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,F,WHITE HISPANIC,998950,229227,40.795847213000059,-73.946910263999939,POINT (-73.94691026399994 40.79584721300006)
214693508,06/27/2020,00:35:00,BROOKLYN,69,0,,false,,,,25-44,M,BLACK,1012270,172118,40.639064637000047,-73.899040893999938,POINT (-73.89904089399994 40.63906463700005)
211663635,04/01/2020,04:18:00,BROOKLYN,77,0,PVT HOUSE,false,,,,25-44,M,BLACK,1002295,184332,40.672615329000052,-73.934949719999963,POINT (-73.93494971999996 40.67261532900005)
214431173,06/21/2020,10:28:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1015410,183284,40.669702359000041,-73.887675393999984,POINT (-73.88767539399998 40.66970235900004)
208187329,01/18/2020,01:06:00,BRONX,49,0,,false,,,,25-44,M,BLACK HISPANIC,1023622,253318,40.861894559000064,-73.857662479999988,POINT (-73.85766247999999 40.86189455900006)
